W51 class-5 grid continuation: 951 uncleared markings remain after W50's 72; this run does indices 1..951
Q_5 : order 2^922, layers [ 5, 14, 49, 175, 679 ]  (16.500 s)
marking-independent commutator lists [L_{w-1},L_1] built in 0.000 s

  t   s | verdict    | L3 rank/target  L4 rank/target  L5 rank/target | coranks | defect in im | cert | secs
  2  14 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.650
  2  15 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.920
  2  17 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.920
  2  18 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.650
  2  19 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.970
  2  20 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.520
  2  21 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.940
  2  22 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.640
  2  23 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.900
  2  24 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.480
  2  25 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.950
  2  26 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.690
  2  27 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.950
  2  28 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.540
  2  29 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 1.010
  2  30 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.730
  2  31 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 1.020
  3   9 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.880
  3  10 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.830
  3  11 | solvable   | [ L3:43/49, L4:169/175, L5:673/679 ] | [ 6, 6, 6 ] | true         | true | 0.840
